Sr. No.,Family,Subfamily,Tribe,Scientific Name,Common Name,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
1,Hesperiidae,Coeliadinae,–,Badamia exclamationis,Brown Awl,,,,,,,,,,,,,,,,,,,,
2,Hesperiidae,Coeliadinae,–,Burara jaina,Common Orange Awlet,,,,,,,,,,,,,,,,,,,,
3,Hesperiidae,Coeliadinae,–,Bibasis sena,Orange-tailed Awlet,,,,,,,,,,,,,,,,,,,,
4,Hesperiidae,Coeliadinae,–,Hasora badra,Common Awl,,,,,,,,,,,,,,,,,,,,
5,Hesperiidae,Coeliadinae,–,Hasora chromus,Common Banded Awl,,,,,,,,,,,,,,,,,,,,
6,Hesperiidae,Coeliadinae,–,Hasora taminatus,White-banded Awl,,,,,,,,,,,,,,,,,,,,
7,Hesperiidae,Coeliadinae,–,Hasora vitta,Plain Banded Awl,,,,,,,,,,,,,,,,,,,,
8,Hesperiidae,Coeliadinae,–,Hasora spp.,Awl species,,,,,,,,,,,,,,,,,,,,
9,Hesperiidae,Hesperiinae,Aeromachini,Aeromachus pygmaeus,Pygmy Scrub Hopper,,,,,,,,,,,,,,,,,,,,
10,Hesperiidae,Hesperiinae,Aeromachini,Ampittia dioscorides,Bush Hopper,,,,,,,,,,,,,,,,,,,,
11,Hesperiidae,Hesperiinae,Aeromachini,Arnetta vindhiana,Vindhyan Bob,,,,,,,,,,,,,,,,,,,,
12,Hesperiidae,Hesperiinae,Aeromachini,Erionota torus,Rounded Palm-redeye,,,,,,,,,,,,,,,,,,,,
13,Hesperiidae,Hesperiinae,Aeromachini,Gangara thyrsis,Giant Redeye,,,,,,,,,,,,,,,,,,,,
14,Hesperiidae,Hesperiinae,Aeromachini,Halpe porus,Bi-spot Banded Ace,,,,,,,,,,,,,,,,,,,,
15,Hesperiidae,Hesperiinae,Aeromachini,Iambrix salsala,Chestnut Bob,,,,,,,,,,,,,,,,,,,,
16,Hesperiidae,Hesperiinae,Aeromachini,Matapa aria,Common Branded Redeye,,,,,,,,,,,,,,,,,,,,
17,Hesperiidae,Hesperiinae,Aeromachini,Suastus gremius,Oriental Palm Bob,,,,,,,,,,,,,,,,,,,,
18,Hesperiidae,Hesperiinae,Aeromachini,Udaspes folus,Grass Demon,,,,,,,,,,,,,,,,,,,,
19,Hesperiidae,Hesperiinae,Baorini,Baorini spp.,Swift species,,,,,,,,,,,,,,,,,,,,
20,Hesperiidae,Hesperiinae,Baorini,Baoris farri,Complete Paint-brush Swift,,,,,,,,,,,,,,,,,,,,
21,Hesperiidae,Hesperiinae,Baorini,Borbo bevani,Lesser Rice Swift. Also as Pseudoborbo bevani,,,,,,,,,,,,,,,,,,,,
22,Hesperiidae,Hesperiinae,Baorini,Borbo cinnara,Rice Swift,,,,,,,,,,,,,,,,,,,,
23,Hesperiidae,Hesperiinae,Baorini,Caltoris canaraica,Karwar Swift,,,,,,,,,,,,,,,,,,,,
24,Hesperiidae,Hesperiinae,Baorini,Caltoris kumara,Blank Swift,,,,,,,,,,,,,,,,,,,,
25,Hesperiidae,Hesperiinae,Baorini,Caltoris spp.,Caltoris swift species,,,,,,,,,,,,,,,,,,,,
26,Hesperiidae,Hesperiinae,Baorini,Parnara spp.,Parnara swift,,,,,,,,,,,,,,,,,,,,
27,Hesperiidae,Hesperiinae,Baorini,Pelopidas agna,Obscure Branded Swift,,,,,,,,,,,,,,,,,,,,
28,Hesperiidae,Hesperiinae,Baorini,Pelopidas conjuncta,Conjoined Swift,,,,,,,,,,,,,,,,,,,,
29,Hesperiidae,Hesperiinae,Baorini,Pelopidas mathias,Small Branded Swift,,,,,,,,,,,,,,,,,,,,
30,Hesperiidae,Hesperiinae,Baorini,Pelopidas spp.,Pelopidas swift,,,,,,,,,,,,,,,,,,,,
31,Hesperiidae,Hesperiinae,Taractrocerini,Oriens goloides,Smaller Dartlet,,,,,,,,,,,,,,,,,,,,
32,Hesperiidae,Hesperiinae,Taractrocerini,Potanthus spp.,Dart species,,,,,,,,,,,,,,,,,,,,
33,Hesperiidae,Hesperiinae,Taractrocerini,Taractrocera maevius,Grey-veined Grass Dart,,,,,,,,,,,,,,,,,,,,
34,Hesperiidae,Hesperiinae,Taractrocerini,Telicota bambusae,Dark Palm-Dart,,,,,,,,,,,,,,,,,,,,
35,Hesperiidae,Hesperiinae,Taractrocerini,Telicota colon,Pale Palm-Dart,,,,,,,,,,,,,,,,,,,,
36,Hesperiidae,Hesperiinae,Taractrocerini,Telicota spp.,Palm-Dart species,,,,,,,,,,,,,,,,,,,,
